RoomId,RoomNumber,RoomName,Level,Area (SF),Volume (CF),Room Location X (ft),Room Location Y (ft),Room Location Z (ft),Boundary Loop,Segment Index,Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Boundary Element Id
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,7,96.965,169.666,0,96.965,169.333,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,8,96.965,169.333,0,96.111,169.333,0,1776493
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,9,96.111,169.333,0,96.111,169.666,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,10,96.111,169.666,0,94.986,169.666,0,1780464
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,11,94.986,169.666,0,94.986,169.322,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,12,94.986,169.322,0,81.611,169.322,0,1776411
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,13,81.611,169.322,0,81.611,169.666,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,14,81.611,169.666,0,80.486,169.666,0,1780464
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,15,80.486,169.666,0,80.486,169.333,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,16,80.486,169.333,0,79.632,169.333,0,1776273
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,17,79.632,169.333,0,79.632,169.666,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,18,79.632,169.666,0,72.132,169.666,0,1780464
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,19,72.132,169.666,0,72.132,169.333,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,20,72.132,169.333,0,67.111,169.333,0,1776203
