ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot,source_schedule,Original Category,Original Family,Original Type,Assembly Code,Assembly Description,Depth,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Room Id,Room Number,Room Name,Room Level,Room Area (SF),Room Volume (CF),Room Location X (ft),Room Location Y (ft),Room Location Z (ft)
1087153,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Supply Air 4,Supply Air,,,"5""x5""",,"5""","5""","6' - 0 5/32""",9 SF,,,,,"0""","0""",80 m³/h,80 m³/h,0.00 in-wg,,,,,,,,2.0,1.57,,,4.5,4.5,Curve,4.233,154.552,25.708,1.226,154.552,25.708,7.24,154.552,25.708,,1.226,154.364,25.521,7.24,154.739,25.896,4.233,154.552,25.708,,"Additional Flow=0 m³/h | Area=9 SF | Flow=80 m³/h | Free Size=4 1/2""x4 1/2"" | Height=5"" | Hydraulic Diameter=5"" | Insulation Thickness=0"" | Length=6' - 0 5/32"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=10' - 6 1/4"" | Lower End Top of Insulation Elevation=10' - 10 3/4"" | Overall Size=4 1/2""x4 1/2"" | Pressure Drop=0.00 in-wg | Size=5""x5"" | Size Lock=False | Upper End Bottom of Insulation Elevation=10' - 6 1/4"" | Upper End Top of Insulation Elevation=10' - 10 3/4"" | Velocity Pressure=0.01 in-wg | Width=5""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087171,Flex Ducts,,Flex - Round,L 0,,Mechanical Supply Air 4,Supply Air,,,"3""ø","3""",,,"1' - 9 7/16""",,,,,,"0""","0""",30 m³/h,30 m³/h,0.00 in-wg,,,,,,,,2.0,0.589,,3.0,,,Curve,20.198,155.777,24.567,20.215,154.973,24.7,20.18,156.58,24.434,,20.055,154.967,24.434,20.34,156.705,24.896,20.198,155.836,24.665,,"Additional Flow=0 m³/h | Diameter=3"" | Flow=30 m³/h | Free Size=3""ø | Hydraulic Diameter=3"" | Insulation Thickness=0"" | Length=1' - 9 7/16"" | Lining Thickness=0"" | Overall Size=3""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.01 in-wg",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087184,Duct Fittings,Rectangular Tee,Standard,L 1,,Mechanical Supply Air 4,Supply Air,,,"9""x10""-9""x10""-3""x10""",,,"10""","9""x10""-9""x10""-3""x10""",,0.28 CF,,,,"0""","0""",,,8baf7d75-8b9b-46d0-b8ce-3ad1c19e6b19,,,,,,,,3.0,8.829,,,9.0,10.0,Point,-0.071,152.874,25.708,,,,,,,90.0,-0.446,152.666,25.292,0.388,153.083,26.125,-0.029,152.874,25.708,,"Duct Height=10"" | Duct Length 1=3"" | Duct Length 3=6"" | Duct Width 1=9"" | Duct Width 3=3"" | Free Size=9""x10""-9""x10""-3""x10"" | Insulation Thickness=0"" | Length1a=2"" | Length3a=5"" | Lining Thickness=0"" | Overall Size=9""x10""-9""x10""-3""x10"" | Size=9""x10""-9""x10""-3""x10"" | Volume=0.28 CF",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087185,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Supply Air 4,Supply Air,,,"11""x11""",,"11""","11""","0' - 10 3/4""",3 SF,,,,,"0""","0""",450 m³/h,450 m³/h,0.00 in-wg,,,,,,,,2.0,8.829,,,11.0,11.0,Curve,-0.071,153.732,25.708,-0.071,154.18,25.708,-0.071,153.284,25.708,,-0.529,153.284,25.25,0.388,154.18,26.167,-0.071,153.732,25.708,,"Additional Flow=0 m³/h | Area=3 SF | Flow=450 m³/h | Free Size=11""x11"" | Height=11"" | Hydraulic Diameter=11"" | Insulation Thickness=0"" | Length=0' - 10 3/4"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=10' - 3"" | Lower End Top of Insulation Elevation=11' - 2"" | Overall Size=11""x11"" | Pressure Drop=0.00 in-wg | Size=11""x11"" | Size Lock=False | Upper End Bottom of Insulation Elevation=10' - 3"" | Upper End Top of Insulation Elevation=11' - 2"" | Velocity Pressure=0.01 in-wg | Width=11""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087207,Duct Fittings,Rectangular Tee,Standard,L 1,,Mechanical Supply Air 4,Supply Air,,,"12""x12""-12""x12""-3""x12""",,,"12""","12""x12""-12""x12""-3""x12""",,0.44 CF,,,,"0""","0""",,,8baf7d75-8b9b-46d0-b8ce-3ad1c19e6b19,,,,,,,,3.0,10.987,,,12.0,12.0,Point,-0.071,159.012,25.708,,,,,,,90.0,-0.571,158.803,25.208,0.513,159.22,26.208,-0.029,159.012,25.708,,"Duct Height=12"" | Duct Length 1=3"" | Duct Length 3=7"" | Duct Width 1=12"" | Duct Width 3=3"" | Free Size=12""x12""-12""x12""-3""x12"" | Insulation Thickness=0"" | Length1a=2"" | Length3a=6"" | Lining Thickness=0"" | Overall Size=12""x12""-12""x12""-3""x12"" | Size=12""x12""-12""x12""-3""x12"" | Volume=0.44 CF",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087208,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Supply Air 4,Supply Air,,,"12""x12""",,"12""","12""","5' - 7 27/32""",23 SF,,,,,"0""","0""",560 m³/h,560 m³/h,0.00 in-wg,,,,,,,,2.0,10.987,,,12.0,12.0,Curve,-0.071,162.047,25.708,-0.071,164.874,25.708,-0.071,159.22,25.708,,-0.571,159.22,25.208,0.429,164.874,26.208,-0.071,162.047,25.708,,"Additional Flow=0 m³/h | Area=23 SF | Flow=560 m³/h | Free Size=12""x12"" | Height=12"" | Hydraulic Diameter=12"" | Insulation Thickness=0"" | Length=5' - 7 27/32"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=10' - 2 1/2"" | Lower End Top of Insulation Elevation=11' - 2 1/2"" | Overall Size=12""x12"" | Pressure Drop=0.00 in-wg | Size=12""x12"" | Size Lock=False | Upper End Bottom of Insulation Elevation=10' - 2 1/2"" | Upper End Top of Insulation Elevation=11' - 2 1/2"" | Velocity Pressure=0.01 in-wg | Width=12""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087222,Duct Fittings,Rectangular Tee,Standard,L 1,,Mechanical Supply Air 4,Supply Air,,,"12""x12""-12""x12""-3""x12""",,,"12""","12""x12""-12""x12""-3""x12""",,0.44 CF,,,,"0""","0""",,,8baf7d75-8b9b-46d0-b8ce-3ad1c19e6b19,,,,,,,,3.0,11.575,,,12.0,12.0,Point,-0.071,165.083,25.708,,,,,,,90.0,-0.571,164.874,25.208,0.513,165.291,26.208,-0.029,165.083,25.708,,"Duct Height=12"" | Duct Length 1=3"" | Duct Length 3=7"" | Duct Width 1=12"" | Duct Width 3=3"" | Free Size=12""x12""-12""x12""-3""x12"" | Insulation Thickness=0"" | Length1a=2"" | Length3a=6"" | Lining Thickness=0"" | Overall Size=12""x12""-12""x12""-3""x12"" | Size=12""x12""-12""x12""-3""x12"" | Volume=0.44 CF",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087223,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Supply Air 4,Supply Air,,,"12""x12""",,"12""","12""","6' - 0 9/16""",24 SF,,,,,"0""","0""",590 m³/h,590 m³/h,0.00 in-wg,,,,,,,,2.0,11.575,,,12.0,12.0,Curve,-0.071,168.314,25.708,-0.071,171.337,25.708,-0.071,165.291,25.708,,-0.571,165.291,25.208,0.429,171.337,26.208,-0.071,168.314,25.708,,"Additional Flow=0 m³/h | Area=24 SF | Flow=590 m³/h | Free Size=12""x12"" | Height=12"" | Hydraulic Diameter=12"" | Insulation Thickness=0"" | Length=6' - 0 9/16"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=10' - 2 1/2"" | Lower End Top of Insulation Elevation=11' - 2 1/2"" | Overall Size=12""x12"" | Pressure Drop=0.00 in-wg | Size=12""x12"" | Size Lock=False | Upper End Bottom of Insulation Elevation=10' - 2 1/2"" | Upper End Top of Insulation Elevation=11' - 2 1/2"" | Velocity Pressure=0.01 in-wg | Width=12""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087237,Duct Fittings,Rectangular Tee,Standard,L 1,,Mechanical Supply Air 4,Supply Air,,,"12""x13""-12""x13""-3""x13""",,,"13""","12""x13""-12""x13""-3""x13""",,0.47 CF,,,,"0""","0""",,,8baf7d75-8b9b-46d0-b8ce-3ad1c19e6b19,,,,,,,,3.0,12.164,,,12.0,13.0,Point,-0.071,171.646,25.708,,,,,,,90.0,-0.571,171.437,25.167,0.513,171.854,26.25,-0.029,171.646,25.708,,"Duct Height=13"" | Duct Length 1=3"" | Duct Length 3=7"" | Duct Width 1=12"" | Duct Width 3=3"" | Free Size=12""x13""-12""x13""-3""x13"" | Insulation Thickness=0"" | Length1a=2"" | Length3a=6"" | Lining Thickness=0"" | Overall Size=12""x13""-12""x13""-3""x13"" | Size=12""x13""-12""x13""-3""x13"" | Volume=0.47 CF",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087238,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Supply Air 4,Supply Air,,,"12""x13""",,"12""","13""","7' - 1""",30 SF,,,,,"0""","0""",620 m³/h,620 m³/h,0.00 in-wg,,,,,,,,2.0,12.164,,,12.0,13.0,Curve,-0.071,175.396,25.708,-0.071,178.937,25.708,-0.071,171.854,25.708,,-0.571,171.854,25.167,0.429,178.937,26.25,-0.071,175.396,25.708,,"Additional Flow=0 m³/h | Area=30 SF | Flow=620 m³/h | Free Size=12""x13"" | Height=13"" | Hydraulic Diameter=12"" | Insulation Thickness=0"" | Length=7' - 1"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=10' - 2"" | Lower End Top of Insulation Elevation=11' - 3"" | Overall Size=12""x13"" | Pressure Drop=0.00 in-wg | Size=12""x13"" | Size Lock=False | Upper End Bottom of Insulation Elevation=10' - 2"" | Upper End Top of Insulation Elevation=11' - 3"" | Velocity Pressure=0.01 in-wg | Width=12""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087346,Flex Ducts,,Flex - Round,L 0,,Mechanical Supply Air 4,Supply Air,,,"3""ø","3""",,,"1' - 8 27/32""",,,,,,"0""","0""",30 m³/h,30 m³/h,0.00 in-wg,,,,,,,,2.0,0.589,,3.0,,,Curve,1.573,152.874,25.071,1.092,152.874,25.708,2.055,152.874,24.434,,1.092,152.749,24.434,2.18,152.999,25.833,1.636,152.874,25.134,,"Additional Flow=0 m³/h | Diameter=3"" | Flow=30 m³/h | Free Size=3""ø | Hydraulic Diameter=3"" | Insulation Thickness=0"" | Length=1' - 8 27/32"" | Lining Thickness=0"" | Overall Size=3""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.01 in-wg",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087362,Flex Ducts,,Flex - Round,L 0,,Mechanical Supply Air 4,Supply Air,,,"3""ø","3""",,,"1' - 6 19/32""",,,,,,"0""","0""",30 m³/h,30 m³/h,0.00 in-wg,,,,,,,,2.0,0.589,,3.0,,,Curve,1.733,159.012,25.071,1.418,159.012,25.708,2.048,159.012,24.434,,1.418,158.887,24.427,2.173,159.137,25.833,1.796,159.012,25.13,,"Additional Flow=0 m³/h | Diameter=3"" | Flow=30 m³/h | Free Size=3""ø | Hydraulic Diameter=3"" | Insulation Thickness=0"" | Length=1' - 6 19/32"" | Lining Thickness=0"" | Overall Size=3""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.01 in-wg",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087378,Flex Ducts,,Flex - Round,L 0,,Mechanical Supply Air 4,Supply Air,,,"3""ø","3""",,,"1' - 6 19/32""",,,,,,"0""","0""",30 m³/h,30 m³/h,0.00 in-wg,,,,,,,,2.0,0.589,,3.0,,,Curve,1.733,165.083,25.071,1.418,165.083,25.708,2.048,165.083,24.434,,1.418,164.958,24.427,2.173,165.208,25.833,1.796,165.083,25.13,,"Additional Flow=0 m³/h | Diameter=3"" | Flow=30 m³/h | Free Size=3""ø | Hydraulic Diameter=3"" | Insulation Thickness=0"" | Length=1' - 6 19/32"" | Lining Thickness=0"" | Overall Size=3""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.01 in-wg",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087394,Flex Ducts,,Flex - Round,L 0,,Mechanical Supply Air 4,Supply Air,,,"3""ø","3""",,,"1' - 6 1/16""",,,,,,"0""","0""",30 m³/h,30 m³/h,0.00 in-wg,,,,,,,,2.0,0.589,,3.0,,,Curve,1.783,171.646,25.071,1.519,171.646,25.708,2.048,171.646,24.434,,1.519,171.521,24.43,2.173,171.771,25.833,1.846,171.646,25.132,,"Additional Flow=0 m³/h | Diameter=3"" | Flow=30 m³/h | Free Size=3""ø | Hydraulic Diameter=3"" | Insulation Thickness=0"" | Length=1' - 6 1/16"" | Lining Thickness=0"" | Overall Size=3""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.01 in-wg",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087401,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Supply Air 4,Supply Air,,,"5""x5""",,"5""","5""","1' - 11 5/16""",3 SF,,,,,"0""","0""",0 m³/h,0 m³/h,0.00 in-wg,,,,,,,,2.0,,,,4.5,4.5,Curve,2.481,184.528,25.708,1.51,184.528,25.708,3.452,184.528,25.708,,1.51,184.341,25.521,3.452,184.716,25.896,2.481,184.528,25.708,,"Additional Flow=0 m³/h | Area=3 SF | Flow=0 m³/h | Free Size=4 1/2""x4 1/2"" | Height=5"" | Hydraulic Diameter=5"" | Insulation Thickness=0"" | Length=1' - 11 5/16"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=10' - 6 1/4"" | Lower End Top of Insulation Elevation=10' - 10 3/4"" | Overall Size=4 1/2""x4 1/2"" | Pressure Drop=0.00 in-wg | Size=5""x5"" | Size Lock=False | Upper End Bottom of Insulation Elevation=10' - 6 1/4"" | Upper End Top of Insulation Elevation=10' - 10 3/4"" | Velocity Pressure=0.00 in-wg | Width=5""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
